timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1706891832196,498,Убрать из корзины,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,2690,1779,5,10,null,,498,UTF-8,1,0,DESKTOP-59ENBAD,1206,0
1706891833900,0,Debug Sampler,200,OK,Thread Group 1-4,text,true,,517,0,5,10,null,,0,windows-1251,1,0,DESKTOP-59ENBAD,0,0
1706891833782,259,Удалить товар из корзины,200,OK,Thread Group 1-5,text,true,,1350,1008,5,10,https://dostaevsky.ru/basket/update-item-count,,259,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891833323,868,Вход на главную,200,OK,Thread Group 1-3,text,true,,336014,434,5,10,https://dostaevsky.ru/,,724,UTF-8,1,0,DESKTOP-59ENBAD,0,60
1706891832708,868,Вход,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,336014,434,5,10,null,,724,UTF-8,1,0,DESKTOP-59ENBAD,615,60
1706891833771,569,Переход на второй товар,200,OK,Thread Group 2-5,text,true,,311994,468,5,10,https://dostaevsky.ru/sets-sushi-rolls/spicy-salmon-roll,,454,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891831716,1414,Выбор второго товара из списка,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 2-5,,true,,643507,953,5,10,null,,1181,UTF-8,1,0,DESKTOP-59ENBAD,1210,0
1706891827412,3483,Use Case № 2,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 2-5,,true,,1622876,2019,5,10,null,,2879,UTF-8,1,0,DESKTOP-59ENBAD,3444,59
1706891834340,0,Debug Sampler,200,OK,Thread Group 2-5,text,true,,764,0,5,10,null,,0,windows-1251,1,0,DESKTOP-59ENBAD,0,0
1706891833906,542,Переход на первый товар,200,OK,Thread Group 2-1,text,true,,296636,473,5,10,https://dostaevsky.ru/sets-sushi-rolls/tuna-avocado-sushi-set,,437,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891833299,542,Выбор первого товара из списка,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-1,,true,,296636,473,5,10,null,,437,UTF-8,1,0,DESKTOP-59ENBAD,607,0
1706891833623,868,Результаты поиска,200,OK,Thread Group 2-2,text,true,,359125,491,5,10,https://dostaevsky.ru/search-results?query=%D0%9A%D1%83%D1%80%D0%B8%D1%86%D0%B0,,738,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891833021,868,Ввод поискового запроса,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-2,,true,,359125,491,5,10,null,,738,UTF-8,1,0,DESKTOP-59ENBAD,604,0
1706891834142,604,Переход на товар,200,OK,Thread Group 1-1,text,true,,296450,449,5,10,https://dostaevsky.ru/bowls/beef-bowl,,494,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891833537,604,Переход на товар,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,296450,449,5,10,null,,494,UTF-8,1,0,DESKTOP-59ENBAD,606,0
1706891834643,264,Полуить информацию с корзины,200,OK,Thread Group 1-5,text,true,,1340,771,5,10,https://dostaevsky.ru/basket/info,,264,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891833177,523,Убрать из корзины,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,2690,1779,5,10,null,,523,UTF-8,1,0,DESKTOP-59ENBAD,1208,0
1706891834908,0,Debug Sampler,200,OK,Thread Group 1-5,text,true,,549,0,5,10,null,,0,windows-1251,1,0,DESKTOP-59ENBAD,0,0
1706891834503,873,Вход на главную,200,OK,Thread Group 1-4,text,true,,336472,434,5,10,https://dostaevsky.ru/,,737,UTF-8,1,0,DESKTOP-59ENBAD,0,61
1706891833900,873,Вход,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,336472,434,5,10,null,,737,UTF-8,1,0,DESKTOP-59ENBAD,609,61
1706891834503,943,Результаты поиска,200,OK,Thread Group 2-3,text,true,,335728,503,5,10,https://dostaevsky.ru/search-results?query=%D0%93%D0%BE%D0%B2%D1%8F%D0%B4%D0%B8%D0%BD%D0%B0,,822,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891833893,943,Ввод поискового запроса,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-3,,true,,335728,503,5,10,null,,822,UTF-8,1,0,DESKTOP-59ENBAD,612,0
1706891835095,572,Переход на первый товар,200,OK,Thread Group 2-2,text,true,,295320,451,5,10,https://dostaevsky.ru/woks/chicken-rice,,470,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891834493,572,Выбор первого товара из списка,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-2,,true,,295320,451,5,10,null,,470,UTF-8,1,0,DESKTOP-59ENBAD,602,0
1706891834799,891,Переход на вкладку,200,OK,Thread Group 1-3,text,true,,318977,439,5,10,https://dostaevsky.ru/soups,,774,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891834191,891,Переход на вкладку категории,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,318977,439,5,10,null,,774,UTF-8,1,0,DESKTOP-59ENBAD,610,0
1706891835359,360,Добавить товар в коризну,200,OK,Thread Group 1-1,text,true,,2994,765,5,10,https://dostaevsky.ru/ajax/basket/add_to_basket?item_id=14748,,360,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891835049,714,Результаты поиска,200,OK,Thread Group 2-1,text,true,,304040,479,5,10,https://dostaevsky.ru/search-results?query=%D0%A1%D1%83%D1%88%D0%B8,,611,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891835344,782,Вход на главную,200,OK,Thread Group 2-5,text,true,,336291,434,5,10,https://dostaevsky.ru/,,636,UTF-8,1,0,DESKTOP-59ENBAD,0,59
1706891834341,782,Вход,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-5,,true,,336291,434,5,10,null,,636,UTF-8,1,0,DESKTOP-59ENBAD,1004,59
1706891835514,830,Вход на главную,200,OK,Thread Group 1-5,text,true,,335922,434,5,10,https://dostaevsky.ru/,,691,UTF-8,1,0,DESKTOP-59ENBAD,0,62
1706891834908,830,Вход,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,335922,434,5,10,null,,691,UTF-8,1,0,DESKTOP-59ENBAD,607,62
1706891836061,455,Переход на первый товар,200,OK,Thread Group 2-3,text,true,,297237,448,5,10,https://dostaevsky.ru/woks/beef-udon,,347,UTF-8,1,0,DESKTOP-59ENBAD,0,0
